GEO_ID,NAME,tract,total_population,CARES_exclusion_c,pay over 50,percentage-renters-less12k,ui_rate,unemployment rate,Risk of Job Displacement,non_high_school_per,college_per,med_income,renter_num,renter_per,mid_rent,rent_35,total,latinx,white,black,asian,include,CARES_exclusion_c bin,pay over 50 bin,percentage-renters-less12k bin,ui_rate bin,unemployment rate bin,Risk of Job Displacement bin,sum_rankings,RVI
1400000US36061000100,"Census Tract 1, New York County, New York",36061000100,0,0.0,,,-inf,,,,,,0.0,,,,0.0,,,,,0,,,,,,,,0
1400000US36061000201,"Census Tract 2.01, New York County, New York",36061000201,2835,0.522763871153439,0.23,0.3996265172735761,-0.09506726457399095,4.05,0.29577464788732394,51.8,11.3,28328.0,1071.0,100.0,689.0,36.6,2835.0,44.6,4.5,5.3,45.8,1,5,2,4.0,1,2,5,19.0,3
1400000US36061000202,"Census Tract 2.02, New York County, New York",36061000202,7764,0.21751698392581142,0.14,0.3895131086142322,0.0694926004228329,13.81,0.23941754148323738,28.90000000000001,32.4,32272.0,2670.0,77.7,641.0,28.2,7764.0,37.5,18.6,8.2,21.0,1,3,1,4.0,2,5,5,20.0,4
1400000US36061000500,"Census Tract 5, New York County, New York",36061000500,0,0.0,,,-inf,,,,,,0.0,,,,0.0,,,,,0,,,,,,,,0
1400000US36061000600,"Census Tract 6, New York County, New York",36061000600,9731,0.1135617822546503,0.21,0.5688191407254952,-0.2897823458282949,8.27,0.2718131689912423,55.4,15.1,18650.0,3887.0,96.4,568.0,38.5,9731.0,30.0,4.7,2.3,56.6,1,2,2,5.0,1,4,5,19.0,3
1400000US36061000700,"Census Tract 7, New York County, New York",36061000700,8809,0.07090648974684988,0.17,0.12317387568032083,0.2596936407241218,3.07,0.03901285650953155,1.7999999999999972,88.2,157209.0,3491.0,77.9,3166.0,24.9,8809.0,5.7,69.4,2.0,20.1,1,2,1,1.0,5,1,1,11.0,1
1400000US36061000800,"Census Tract 8, New York County, New York",36061000800,8993,0.0,0.41,0.39954853273137697,-0.024642537980339663,5.44,0.2390920554854981,55.7,20.3,34150.0,3544.0,97.6,996.0,57.1,8993.0,4.7,8.2,0.1,84.9,1,1,5,4.0,1,2,5,18.0,3
1400000US36061000900,"Census Tract 9, New York County, New York",36061000900,1731,0.0,0.15,0.05652173913043478,-0.10603130755064472,2.59,0.0398749022673964,0.9000000000000057,86.5,195313.0,690.0,82.6,,26.0,1731.0,8.7,64.8,3.1,16.3,1,1,1,1.0,1,1,1,6.0,1
1400000US36061001001,"Census Tract 10.01, New York County, New York",36061001001,1455,0.0,0.16,0.21754385964912282,-0.250656660412758,7.87,0.09943977591036414,3.4000000000000057,62.1,78036.0,285.0,35.2,1136.0,19.9,1455.0,17.9,69.8,0.7,10.8,0,,,,,,,,0
1400000US36061001002,"Census Tract 10.02, New York County, New York",36061001002,5372,0.4201047256813105,0.13,0.5673271330367974,-0.2100000000000002,9.84,0.07873527588344699,36.5,12.3,17926.0,2473.0,100.0,393.0,25.0,5372.0,68.2,2.1,4.3,16.0,1,5,1,5.0,1,4,1,17.0,3
1400000US36061001200,"Census Tract 12, New York County, New York",36061001200,4010,0.20816121601995008,0.21,0.41878172588832485,0.036698599852616365,4.11,0.14430665163472378,20.8,46.1,50917.0,1182.0,62.8,1038.0,44.3,4010.0,28.2,52.2,1.2,16.3,1,3,2,4.0,2,2,2,15.0,2
1400000US36061001300,"Census Tract 13, New York County, New York",36061001300,4639,0.0,0.09,0.05747126436781609,0.10829113924050626,2.3,0.02638226213864721,0.4000000000000057,92.7,158900.0,2175.0,85.8,3225.0,27.5,4639.0,10.9,61.4,1.1,21.7,1,1,1,1.0,3,1,1,8.0,1
1400000US36061001401,"Census Tract 14.01, New York County, New York",36061001401,3166,0.0,0.26,0.23876404494382023,0.1383783783783784,1.83,0.06398640996602492,5.0,72.6,110972.0,356.0,22.3,1167.0,42.6,3166.0,11.5,68.6,2.1,13.0,0,,,,,,,,0
1400000US36061001402,"Census Tract 14.02, New York County, New York",36061001402,2748,0.026240625196506384,0.24,0.4404411764705882,0.07453703703703696,2.18,0.21891891891891893,26.5,38.7,31410.0,1360.0,96.5,1106.0,38.7,2748.0,26.6,31.2,3.7,28.9,1,1,2,4.0,2,1,4,14.0,2
1400000US36061001501,"Census Tract 15.01, New York County, New York",36061001501,6993,0.1658280226297726,0.12,0.2519417475728155,0.17248356095093575,4.44,0.109878499735869,10.0,66.3,86607.0,2060.0,56.3,2744.0,22.1,6993.0,7.9,58.7,2.5,23.6,1,3,1,2.0,4,2,2,14.0,2
1400000US36061001502,"Census Tract 15.02, New York County, New York",36061001502,7926,0.0,0.17,0.07207207207207207,0.17734718337994415,4.23,0.08175988599928749,2.799999999999997,88.1,159911.0,2553.0,78.3,3259.0,29.2,7926.0,5.2,69.7,1.1,18.5,1,1,1,1.0,4,2,1,10.0,1
1400000US36061001600,"Census Tract 16, New York County, New York",36061001600,7133,0.20567368937053132,0.26,0.3273049645390071,0.04633791792463371,7.69,0.17337715694330322,32.2,43.8,49777.0,2820.0,93.3,1316.0,42.3,7133.0,4.3,19.1,1.0,74.8,1,3,2,3.0,2,4,3,17.0,3
1400000US36061001800,"Census Tract 18, New York County, New York",36061001800,7490,0.08094490869959936,0.28,0.34855938158819394,0.09411423601043778,4.85,0.18717504332755633,37.9,37.4,50797.0,2846.0,91.7,1194.0,40.7,7490.0,15.1,26.6,2.7,47.3,1,2,3,3.0,3,2,3,16.0,2
1400000US36061002000,"Census Tract 20, New York County, New York",36061002000,4590,0.5234449916601308,0.17,0.5454073689673067,-0.5623188405797102,7.48,0.2621276595744681,32.099999999999994,7.7,16192.0,1927.0,99.4,443.0,33.3,4590.0,58.7,1.7,4.8,18.7,1,5,1,5.0,1,4,5,21.0,4
1400000US36061002100,"Census Tract 21, New York County, New York",36061002100,6486,0.11476434090348453,0.07,0.02803129074315515,0.10710093896713624,0.81,0.03260583749671312,3.5999999999999943,89.0,,1534.0,58.0,,12.2,6486.0,5.1,78.1,0.8,11.7,1,2,1,1.0,3,1,1,9.0,1
1400000US36061002201,"Census Tract 22.01, New York County, New York",36061002201,6471,0.16580279171070933,0.2,0.44300611290902553,-0.11819861431870682,7.04,0.19808795411089866,19.8,32.2,25900.0,2781.0,90.8,1005.0,45.3,6471.0,44.8,17.8,2.8,23.5,1,3,1,4.0,1,3,4,16.0,2
