"GEO_ID","id"
"NAME","Geographic Area Name"
"C24050_001E","Estimate!!Total"
"C24050_001M","Margin of Error!!Total"
"C24050_002E","Estimate!!Total!!Agriculture, forestry, fishing and hunting, and mining"
"C24050_002M","Margin of Error!!Total!!Agriculture, forestry, fishing and hunting, and mining"
"C24050_003E","Estimate!!Total!!Construction"
"C24050_003M","Margin of Error!!Total!!Construction"
"C24050_004E","Estimate!!Total!!Manufacturing"
"C24050_004M","Margin of Error!!Total!!Manufacturing"
"C24050_005E","Estimate!!Total!!Wholesale trade"
"C24050_005M","Margin of Error!!Total!!Wholesale trade"
"C24050_006E","Estimate!!Total!!Retail trade"
"C24050_006M","Margin of Error!!Total!!Retail trade"
"C24050_007E","Estimate!!Total!!Transportation and warehousing, and utilities"
"C24050_007M","Margin of Error!!Total!!Transportation and warehousing, and utilities"
"C24050_008E","Estimate!!Total!!Information"
"C24050_008M","Margin of Error!!Total!!Information"
"C24050_009E","Estimate!!Total!!Finance and insurance, and real estate, and rental and leasing"
"C24050_009M","Margin of Error!!Total!!Finance and insurance, and real estate, and rental and leasing"
"C24050_010E","Estimate!!Total!!Professional, scientific, and management, and administrative, and waste management services"
"C24050_010M","Margin of Error!!Total!!Professional, scientific, and management, and administrative, and waste management services"
"C24050_011E","Estimate!!Total!!Educational services, and health care and social assistance"
"C24050_011M","Margin of Error!!Total!!Educational services, and health care and social assistance"
"C24050_012E","Estimate!!Total!!Arts, entertainment, and recreation, and accommodation and food services"
"C24050_012M","Margin of Error!!Total!!Arts, entertainment, and recreation, and accommodation and food services"
"C24050_013E","Estimate!!Total!!Other services, except public administration"
"C24050_013M","Margin of Error!!Total!!Other services, except public administration"
"C24050_014E","Estimate!!Total!!Public administration"
"C24050_014M","Margin of Error!!Total!!Public administration"
"C24050_015E","Estimate!!Total!!Management, business, science, and arts occupations"
"C24050_015M","Margin of Error!!Total!!Management, business, science, and arts occupations"
"C24050_016E","Estimate!!Total!!Management, business, science, and arts occupations!!Agriculture, forestry, fishing and hunting, and mining"
"C24050_016M","Margin of Error!!Total!!Management, business, science, and arts occupations!!Agriculture, forestry, fishing and hunting, and mining"
"C24050_017E","Estimate!!Total!!Management, business, science, and arts occupations!!Construction"
"C24050_017M","Margin of Error!!Total!!Management, business, science, and arts occupations!!Construction"
"C24050_018E","Estimate!!Total!!Management, business, science, and arts occupations!!Manufacturing"
"C24050_018M","Margin of Error!!Total!!Management, business, science, and arts occupations!!Manufacturing"
"C24050_019E","Estimate!!Total!!Management, business, science, and arts occupations!!Wholesale trade"
"C24050_019M","Margin of Error!!Total!!Management, business, science, and arts occupations!!Wholesale trade"
"C24050_020E","Estimate!!Total!!Management, business, science, and arts occupations!!Retail trade"
"C24050_020M","Margin of Error!!Total!!Management, business, science, and arts occupations!!Retail trade"
