"GEO_ID","NAME","B25074_001E","B25074_001M","B25074_002E","B25074_002M","B25074_003E","B25074_003M","B25074_004E","B25074_004M","B25074_005E","B25074_005M","B25074_006E","B25074_006M","B25074_007E","B25074_007M","B25074_008E","B25074_008M","B25074_009E","B25074_009M","B25074_010E","B25074_010M","B25074_011E","B25074_011M","B25074_012E","B25074_012M","B25074_013E","B25074_013M","B25074_014E","B25074_014M","B25074_015E","B25074_015M","B25074_016E","B25074_016M","B25074_017E","B25074_017M","B25074_018E","B25074_018M","B25074_019E","B25074_019M","B25074_020E","B25074_020M","B25074_021E","B25074_021M","B25074_022E","B25074_022M","B25074_023E","B25074_023M","B25074_024E","B25074_024M","B25074_025E","B25074_025M","B25074_026E","B25074_026M","B25074_027E","B25074_027M","B25074_028E","B25074_028M","B25074_029E","B25074_029M","B25074_030E","B25074_030M","B25074_031E","B25074_031M","B25074_032E","B25074_032M","B25074_033E","B25074_033M","B25074_034E","B25074_034M","B25074_035E","B25074_035M","B25074_036E","B25074_036M","B25074_037E","B25074_037M","B25074_038E","B25074_038M","B25074_039E","B25074_039M","B25074_040E","B25074_040M","B25074_041E","B25074_041M","B25074_042E","B25074_042M","B25074_043E","B25074_043M","B25074_044E","B25074_044M","B25074_045E","B25074_045M","B25074_046E","B25074_046M","B25074_047E","B25074_047M","B25074_048E","B25074_048M","B25074_049E","B25074_049M","B25074_050E","B25074_050M","B25074_051E","B25074_051M","B25074_052E","B25074_052M","B25074_053E","B25074_053M","B25074_054E","B25074_054M","B25074_055E","B25074_055M","B25074_056E","B25074_056M","B25074_057E","B25074_057M","B25074_058E","B25074_058M","B25074_059E","B25074_059M","B25074_060E","B25074_060M","B25074_061E","B25074_061M","B25074_062E","B25074_062M","B25074_063E","B25074_063M","B25074_064E","B25074_064M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!Less than $10,000!!Less than 20.0 percent","Margin of Error!!Total!!Less than $10,000!!Less than 20.0 percent","Estimate!!Total!!Less than $10,000!!20.0 to 24.9 percent","Margin of Error!!Total!!Less than $10,000!!20.0 to 24.9 percent","Estimate!!Total!!Less than $10,000!!25.0 to 29.9 percent","Margin of Error!!Total!!Less than $10,000!!25.0 to 29.9 percent","Estimate!!Total!!Less than $10,000!!30.0 to 34.9 percent","Margin of Error!!Total!!Less than $10,000!!30.0 to 34.9 percent","Estimate!!Total!!Less than $10,000!!35.0 to 39.9 percent","Margin of Error!!Total!!Less than $10,000!!35.0 to 39.9 percent","Estimate!!Total!!Less than $10,000!!40.0 to 49.9 percent","Margin of Error!!Total!!Less than $10,000!!40.0 to 49.9 percent","Estimate!!Total!!Less than $10,000!!50.0 percent or more","Margin of Error!!Total!!Less than $10,000!!50.0 percent or more","Estimate!!Total!!Less than $10,000!!Not computed","Margin of Error!!Total!!Less than $10,000!!Not computed","Estimate!!Total!!$10,000 to $19,999","Margin of Error!!Total!!$10,000 to $19,999","Estimate!!Total!!$10,000 to $19,999!!Less than 20.0 percent","Margin of Error!!Total!!$10,000 to $19,999!!Less than 20.0 percent","Estimate!!Total!!$10,000 to $19,999!!20.0 to 24.9 percent","Margin of Error!!Total!!$10,000 to $19,999!!20.0 to 24.9 percent","Estimate!!Total!!$10,000 to $19,999!!25.0 to 29.9 percent","Margin of Error!!Total!!$10,000 to $19,999!!25.0 to 29.9 percent","Estimate!!Total!!$10,000 to $19,999!!30.0 to 34.9 percent","Margin of Error!!Total!!$10,000 to $19,999!!30.0 to 34.9 percent","Estimate!!Total!!$10,000 to $19,999!!35.0 to 39.9 percent","Margin of Error!!Total!!$10,000 to $19,999!!35.0 to 39.9 percent","Estimate!!Total!!$10,000 to $19,999!!40.0 to 49.9 percent","Margin of Error!!Total!!$10,000 to $19,999!!40.0 to 49.9 percent","Estimate!!Total!!$10,000 to $19,999!!50.0 percent or more","Margin of Error!!Total!!$10,000 to $19,999!!50.0 percent or more","Estimate!!Total!!$10,000 to $19,999!!Not computed","Margin of Error!!Total!!$10,000 to $19,999!!Not computed","Estimate!!Total!!$20,000 to $34,999","Margin of Error!!Total!!$20,000 to $34,999","Estimate!!Total!!$20,000 to $34,999!!Less than 20.0 percent","Margin of Error!!Total!!$20,000 to $34,999!!Less than 20.0 percent","Estimate!!Total!!$20,000 to $34,999!!20.0 to 24.9 percent","Margin of Error!!Total!!$20,000 to $34,999!!20.0 to 24.9 percent","Estimate!!Total!!$20,000 to $34,999!!25.0 to 29.9 percent","Margin of Error!!Total!!$20,000 to $34,999!!25.0 to 29.9 percent","Estimate!!Total!!$20,000 to $34,999!!30.0 to 34.9 percent","Margin of Error!!Total!!$20,000 to $34,999!!30.0 to 34.9 percent","Estimate!!Total!!$20,000 to $34,999!!35.0 to 39.9 percent","Margin of Error!!Total!!$20,000 to $34,999!!35.0 to 39.9 percent","Estimate!!Total!!$20,000 to $34,999!!40.0 to 49.9 percent","Margin of Error!!Total!!$20,000 to $34,999!!40.0 to 49.9 percent","Estimate!!Total!!$20,000 to $34,999!!50.0 percent or more","Margin of Error!!Total!!$20,000 to $34,999!!50.0 percent or more","Estimate!!Total!!$20,000 to $34,999!!Not computed","Margin of Error!!Total!!$20,000 to $34,999!!Not computed","Estimate!!Total!!$35,000 to $49,999","Margin of Error!!Total!!$35,000 to $49,999","Estimate!!Total!!$35,000 to $49,999!!Less than 20.0 percent","Margin of Error!!Total!!$35,000 to $49,999!!Less than 20.0 percent","Estimate!!Total!!$35,000 to $49,999!!20.0 to 24.9 percent","Margin of Error!!Total!!$35,000 to $49,999!!20.0 to 24.9 percent","Estimate!!Total!!$35,000 to $49,999!!25.0 to 29.9 percent","Margin of Error!!Total!!$35,000 to $49,999!!25.0 to 29.9 percent","Estimate!!Total!!$35,000 to $49,999!!30.0 to 34.9 percent","Margin of Error!!Total!!$35,000 to $49,999!!30.0 to 34.9 percent","Estimate!!Total!!$35,000 to $49,999!!35.0 to 39.9 percent","Margin of Error!!Total!!$35,000 to $49,999!!35.0 to 39.9 percent","Estimate!!Total!!$35,000 to $49,999!!40.0 to 49.9 percent","Margin of Error!!Total!!$35,000 to $49,999!!40.0 to 49.9 percent","Estimate!!Total!!$35,000 to $49,999!!50.0 percent or more","Margin of Error!!Total!!$35,000 to $49,999!!50.0 percent or more","Estimate!!Total!!$35,000 to $49,999!!Not computed","Margin of Error!!Total!!$35,000 to $49,999!!Not computed","Estimate!!Total!!$50,000 to $74,999","Margin of Error!!Total!!$50,000 to $74,999","Estimate!!Total!!$50,000 to $74,999!!Less than 20.0 percent","Margin of Error!!Total!!$50,000 to $74,999!!Less than 20.0 percent","Estimate!!Total!!$50,000 to $74,999!!20.0 to 24.9 percent","Margin of Error!!Total!!$50,000 to $74,999!!20.0 to 24.9 percent","Estimate!!Total!!$50,000 to $74,999!!25.0 to 29.9 percent","Margin of Error!!Total!!$50,000 to $74,999!!25.0 to 29.9 percent","Estimate!!Total!!$50,000 to $74,999!!30.0 to 34.9 percent","Margin of Error!!Total!!$50,000 to $74,999!!30.0 to 34.9 percent","Estimate!!Total!!$50,000 to $74,999!!35.0 to 39.9 percent","Margin of Error!!Total!!$50,000 to $74,999!!35.0 to 39.9 percent","Estimate!!Total!!$50,000 to $74,999!!40.0 to 49.9 percent","Margin of Error!!Total!!$50,000 to $74,999!!40.0 to 49.9 percent","Estimate!!Total!!$50,000 to $74,999!!50.0 percent or more","Margin of Error!!Total!!$50,000 to $74,999!!50.0 percent or more","Estimate!!Total!!$50,000 to $74,999!!Not computed","Margin of Error!!Total!!$50,000 to $74,999!!Not computed","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$75,000 to $99,999!!Less than 20.0 percent","Margin of Error!!Total!!$75,000 to $99,999!!Less than 20.0 percent","Estimate!!Total!!$75,000 to $99,999!!20.0 to 24.9 percent","Margin of Error!!Total!!$75,000 to $99,999!!20.0 to 24.9 percent","Estimate!!Total!!$75,000 to $99,999!!25.0 to 29.9 percent","Margin of Error!!Total!!$75,000 to $99,999!!25.0 to 29.9 percent","Estimate!!Total!!$75,000 to $99,999!!30.0 to 34.9 percent","Margin of Error!!Total!!$75,000 to $99,999!!30.0 to 34.9 percent","Estimate!!Total!!$75,000 to $99,999!!35.0 to 39.9 percent","Margin of Error!!Total!!$75,000 to $99,999!!35.0 to 39.9 percent","Estimate!!Total!!$75,000 to $99,999!!40.0 to 49.9 percent","Margin of Error!!Total!!$75,000 to $99,999!!40.0 to 49.9 percent","Estimate!!Total!!$75,000 to $99,999!!50.0 percent or more","Margin of Error!!Total!!$75,000 to $99,999!!50.0 percent or more","Estimate!!Total!!$75,000 to $99,999!!Not computed","Margin of Error!!Total!!$75,000 to $99,999!!Not computed","Estimate!!Total!!$100,000 or more","Margin of Error!!Total!!$100,000 or more","Estimate!!Total!!$100,000 or more!!Less than 20.0 percent","Margin of Error!!Total!!$100,000 or more!!Less than 20.0 percent","Estimate!!Total!!$100,000 or more!!20.0 to 24.9 percent","Margin of Error!!Total!!$100,000 or more!!20.0 to 24.9 percent","Estimate!!Total!!$100,000 or more!!25.0 to 29.9 percent","Margin of Error!!Total!!$100,000 or more!!25.0 to 29.9 percent","Estimate!!Total!!$100,000 or more!!30.0 to 34.9 percent","Margin of Error!!Total!!$100,000 or more!!30.0 to 34.9 percent","Estimate!!Total!!$100,000 or more!!35.0 to 39.9 percent","Margin of Error!!Total!!$100,000 or more!!35.0 to 39.9 percent","Estimate!!Total!!$100,000 or more!!40.0 to 49.9 percent","Margin of Error!!Total!!$100,000 or more!!40.0 to 49.9 percent","Estimate!!Total!!$100,000 or more!!50.0 percent or more","Margin of Error!!Total!!$100,000 or more!!50.0 percent or more","Estimate!!Total!!$100,000 or more!!Not computed","Margin of Error!!Total!!$100,000 or more!!Not computed"
"1400000US36005042902","Census Tract 429.02, Bronx County, New York","1442","94","178","82","0","12","0","12","0","12","0","12","0","12","0","12","167","83","11","18","336","117","0","12","0","12","0","12","14","22","0","12","0","12","322","116","0","12","284","107","12","19","0","12","21","35","0","12","15","23","59","50","158","87","19","33","215","99","12","19","0","12","9","16","30","38","41","49","66","53","30","39","27","44","201","102","28","42","75","58","56","47","24","36","18","32","0","12","0","12","0","12","108","59","81","56","16","24","11","17","0","12","0","12","0","12","0","12","0","12","120","62","107","60","13","20","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US36005033000","Census Tract 330, Bronx County, New York","2024","137","215","121","0","17","0","17","14","21","15","24","0","17","31","37","155","111","0","17","533","197","0","17","19","28","34","28","19","29","57","91","80","87","287","189","37","57","198","113","0","17","19","31","15","24","0","17","17","28","14","23","133","98","0","17","456","197","99","111","0","17","0","17","109","97","57","73","91","90","100","109","0","17","285","156","40","64","0","17","131","97","98","104","16","24","0","17","0","17","0","17","145","69","71","57","31","38","43","51","0","17","0","17","0","17","0","17","0","17","192","133","192","133","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"1400000US36005035800","Census Tract 358, Bronx County, New York","834","199","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","99","106","0","17","0","17","0","17","0","17","0","17","0","17","99","106","0","17","211","154","0","17","0","17","46","70","0","17","0","17","67","83","98","94","0","17","107","89","0","17","0","17","0","17","17","27","0","17","0","17","90","94","0","17","172","105","25","42","25","40","29","49","59","65","16","25","18","30","0","17","0","17","140","103","85","80","55","67","0","17","0","17","0","17","0","17","0","17","0","17","105","89","105","89","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"1400000US36005037100","Census Tract 371, Bronx County, New York","1558","130","235","100","33","51","0","12","13","20","13","20","25","30","0","12","129","69","22","23","424","150","33","53","37","43","69","62","120","99","58","56","70","69","37","34","0","12","312","122","49","32","0","12","32","50","76","86","0","12","0","12","155","84","0","12","160","84","23","25","26","31","11","18","13","20","9","15","13","20","65","64","0","12","269","120","52","59","11","19","67","58","44","60","13","19","25","37","0","12","57","58","55","48","55","48","0","12","0","12","0","12","0","12","0","12","0","12","0","12","103","82","103","82","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US36005038500","Census Tract 385, Bronx County, New York","1648","85","421","115","0","12","26","39","16","27","10","15","0","12","9","15","281","107","79","64","405","102","0","12","0","12","50","43","33","29","25","27","0","12","278","91","19","28","334","112","10","16","0","12","60","48","46","40","26","31","33","37","140","79","19","29","266","107","18","27","50","52","0","12","123","77","15","24","60","53","0","12","0","12","104","64","14","23","68","54","10","15","0","12","0","12","3","13","9","14","0","12","49","42","49","42","0","12","0","12","0","12","0","12","0","12","0","12","0","12","69","69","69","69","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US36005042100","Census Tract 421, Bronx County, New York","2056","167","287","130","0","17","0","17","0","17","0","17","15","24","0","17","197","112","75","92","330","153","0","17","25","36","35","42","16","26","0","17","0","17","227","135","27","46","418","172","20","31","21","33","0","17","14","23","44","57","149","124","170","96","0","17","279","127","0","17","40","45","44","55","77","73","32","37","67","67","0","17","19","31","497","208","216","107","166","129","16","27","72","87","27","41","0","17","0","17","0","17","96","88","20","36","38","63","20","34","18","29","0","17","0","17","0","17","0","17","149","100","149","100","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"1400000US36005045101","Census Tract 451.01, Bronx County, New York","512","66","13","14","0","12","0","12","0","12","0","12","0","12","0","12","13","14","0","12","23","17","0","12","0","12","0","12","0","12","6","8","0","12","17","14","0","12","62","39","0","12","0","12","5","8","0","12","0","12","20","18","31","35","6","9","65","47","6","8","12","13","5","9","6","9","0","12","30","40","0","12","6","9","78","34","0","12","15","16","38","21","12","14","13","15","0","12","0","12","0","12","116","47","14","11","55","33","21","25","26","29","0","12","0","12","0","12","0","12","155","55","149","54","6","8","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US36005011800","Census Tract 118, Bronx County, New York","491","129","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","38","61","0","17","0","17","0","17","0","17","0","17","0","17","38","61","0","17","12","18","0","17","0","17","0","17","0","17","0","17","0","17","12","18","0","17","58","54","0","17","0","17","0","17","26","31","0","17","25","39","0","17","7","11","43","59","0","17","0","17","0","17","0","17","7","12","36","58","0","17","0","17","96","91","55","75","41","50","0","17","0","17","0","17","0","17","0","17","0","17","244","99","151","81","55","58","29","42","0","17","0","17","0","17","0","17","9","14"
"1400000US36005020400","Census Tract 204, Bronx County, New York","791","113","59","47","0","12","0","12","0","12","0","12","0","12","0","12","46","43","13","20","103","76","0","12","0","12","0","12","0","12","0","12","11","17","92","76","0","12","144","82","0","12","0","12","0","12","26","41","0","12","36","38","73","57","9","15","118","78","0","12","11","17","0","12","16","26","55","62","14","23","22","24","0","12","148","97","0","12","37","45","60","61","12","18","0","12","39","56","0","12","0","12","118","73","94","69","24","25","0","12","0","12","0","12","0","12","0","12","0","12","101","66","77","68","11","17","0","12","0","12","0","12","0","12","0","12","13","22"
