"GEO_ID","id"
"NAME","Geographic Area Name"
"B25074_001E","Estimate!!Total"
"B25074_001M","Margin of Error!!Total"
"B25074_002E","Estimate!!Total!!Less than $10,000"
"B25074_002M","Margin of Error!!Total!!Less than $10,000"
"B25074_003E","Estimate!!Total!!Less than $10,000!!Less than 20.0 percent"
"B25074_003M","Margin of Error!!Total!!Less than $10,000!!Less than 20.0 percent"
"B25074_004E","Estimate!!Total!!Less than $10,000!!20.0 to 24.9 percent"
"B25074_004M","Margin of Error!!Total!!Less than $10,000!!20.0 to 24.9 percent"
"B25074_005E","Estimate!!Total!!Less than $10,000!!25.0 to 29.9 percent"
"B25074_005M","Margin of Error!!Total!!Less than $10,000!!25.0 to 29.9 percent"
"B25074_006E","Estimate!!Total!!Less than $10,000!!30.0 to 34.9 percent"
"B25074_006M","Margin of Error!!Total!!Less than $10,000!!30.0 to 34.9 percent"
"B25074_007E","Estimate!!Total!!Less than $10,000!!35.0 to 39.9 percent"
"B25074_007M","Margin of Error!!Total!!Less than $10,000!!35.0 to 39.9 percent"
"B25074_008E","Estimate!!Total!!Less than $10,000!!40.0 to 49.9 percent"
"B25074_008M","Margin of Error!!Total!!Less than $10,000!!40.0 to 49.9 percent"
"B25074_009E","Estimate!!Total!!Less than $10,000!!50.0 percent or more"
"B25074_009M","Margin of Error!!Total!!Less than $10,000!!50.0 percent or more"
"B25074_010E","Estimate!!Total!!Less than $10,000!!Not computed"
"B25074_010M","Margin of Error!!Total!!Less than $10,000!!Not computed"
"B25074_011E","Estimate!!Total!!$10,000 to $19,999"
"B25074_011M","Margin of Error!!Total!!$10,000 to $19,999"
"B25074_012E","Estimate!!Total!!$10,000 to $19,999!!Less than 20.0 percent"
"B25074_012M","Margin of Error!!Total!!$10,000 to $19,999!!Less than 20.0 percent"
"B25074_013E","Estimate!!Total!!$10,000 to $19,999!!20.0 to 24.9 percent"
"B25074_013M","Margin of Error!!Total!!$10,000 to $19,999!!20.0 to 24.9 percent"
"B25074_014E","Estimate!!Total!!$10,000 to $19,999!!25.0 to 29.9 percent"
"B25074_014M","Margin of Error!!Total!!$10,000 to $19,999!!25.0 to 29.9 percent"
"B25074_015E","Estimate!!Total!!$10,000 to $19,999!!30.0 to 34.9 percent"
"B25074_015M","Margin of Error!!Total!!$10,000 to $19,999!!30.0 to 34.9 percent"
"B25074_016E","Estimate!!Total!!$10,000 to $19,999!!35.0 to 39.9 percent"
"B25074_016M","Margin of Error!!Total!!$10,000 to $19,999!!35.0 to 39.9 percent"
"B25074_017E","Estimate!!Total!!$10,000 to $19,999!!40.0 to 49.9 percent"
"B25074_017M","Margin of Error!!Total!!$10,000 to $19,999!!40.0 to 49.9 percent"
"B25074_018E","Estimate!!Total!!$10,000 to $19,999!!50.0 percent or more"
"B25074_018M","Margin of Error!!Total!!$10,000 to $19,999!!50.0 percent or more"
"B25074_019E","Estimate!!Total!!$10,000 to $19,999!!Not computed"
"B25074_019M","Margin of Error!!Total!!$10,000 to $19,999!!Not computed"
"B25074_020E","Estimate!!Total!!$20,000 to $34,999"
"B25074_020M","Margin of Error!!Total!!$20,000 to $34,999"
"B25074_021E","Estimate!!Total!!$20,000 to $34,999!!Less than 20.0 percent"
"B25074_021M","Margin of Error!!Total!!$20,000 to $34,999!!Less than 20.0 percent"
"B25074_022E","Estimate!!Total!!$20,000 to $34,999!!20.0 to 24.9 percent"
"B25074_022M","Margin of Error!!Total!!$20,000 to $34,999!!20.0 to 24.9 percent"
"B25074_023E","Estimate!!Total!!$20,000 to $34,999!!25.0 to 29.9 percent"
"B25074_023M","Margin of Error!!Total!!$20,000 to $34,999!!25.0 to 29.9 percent"
"B25074_024E","Estimate!!Total!!$20,000 to $34,999!!30.0 to 34.9 percent"
"B25074_024M","Margin of Error!!Total!!$20,000 to $34,999!!30.0 to 34.9 percent"
"B25074_025E","Estimate!!Total!!$20,000 to $34,999!!35.0 to 39.9 percent"
"B25074_025M","Margin of Error!!Total!!$20,000 to $34,999!!35.0 to 39.9 percent"
"B25074_026E","Estimate!!Total!!$20,000 to $34,999!!40.0 to 49.9 percent"
"B25074_026M","Margin of Error!!Total!!$20,000 to $34,999!!40.0 to 49.9 percent"
"B25074_027E","Estimate!!Total!!$20,000 to $34,999!!50.0 percent or more"
"B25074_027M","Margin of Error!!Total!!$20,000 to $34,999!!50.0 percent or more"
"B25074_028E","Estimate!!Total!!$20,000 to $34,999!!Not computed"
"B25074_028M","Margin of Error!!Total!!$20,000 to $34,999!!Not computed"
"B25074_029E","Estimate!!Total!!$35,000 to $49,999"
"B25074_029M","Margin of Error!!Total!!$35,000 to $49,999"
"B25074_030E","Estimate!!Total!!$35,000 to $49,999!!Less than 20.0 percent"
"B25074_030M","Margin of Error!!Total!!$35,000 to $49,999!!Less than 20.0 percent"
"B25074_031E","Estimate!!Total!!$35,000 to $49,999!!20.0 to 24.9 percent"
"B25074_031M","Margin of Error!!Total!!$35,000 to $49,999!!20.0 to 24.9 percent"
"B25074_032E","Estimate!!Total!!$35,000 to $49,999!!25.0 to 29.9 percent"
"B25074_032M","Margin of Error!!Total!!$35,000 to $49,999!!25.0 to 29.9 percent"
"B25074_033E","Estimate!!Total!!$35,000 to $49,999!!30.0 to 34.9 percent"
"B25074_033M","Margin of Error!!Total!!$35,000 to $49,999!!30.0 to 34.9 percent"
"B25074_034E","Estimate!!Total!!$35,000 to $49,999!!35.0 to 39.9 percent"
"B25074_034M","Margin of Error!!Total!!$35,000 to $49,999!!35.0 to 39.9 percent"
"B25074_035E","Estimate!!Total!!$35,000 to $49,999!!40.0 to 49.9 percent"
"B25074_035M","Margin of Error!!Total!!$35,000 to $49,999!!40.0 to 49.9 percent"
"B25074_036E","Estimate!!Total!!$35,000 to $49,999!!50.0 percent or more"
"B25074_036M","Margin of Error!!Total!!$35,000 to $49,999!!50.0 percent or more"
"B25074_037E","Estimate!!Total!!$35,000 to $49,999!!Not computed"
"B25074_037M","Margin of Error!!Total!!$35,000 to $49,999!!Not computed"
"B25074_038E","Estimate!!Total!!$50,000 to $74,999"
"B25074_038M","Margin of Error!!Total!!$50,000 to $74,999"
"B25074_039E","Estimate!!Total!!$50,000 to $74,999!!Less than 20.0 percent"
"B25074_039M","Margin of Error!!Total!!$50,000 to $74,999!!Less than 20.0 percent"
"B25074_040E","Estimate!!Total!!$50,000 to $74,999!!20.0 to 24.9 percent"
"B25074_040M","Margin of Error!!Total!!$50,000 to $74,999!!20.0 to 24.9 percent"
"B25074_041E","Estimate!!Total!!$50,000 to $74,999!!25.0 to 29.9 percent"
"B25074_041M","Margin of Error!!Total!!$50,000 to $74,999!!25.0 to 29.9 percent"
"B25074_042E","Estimate!!Total!!$50,000 to $74,999!!30.0 to 34.9 percent"
"B25074_042M","Margin of Error!!Total!!$50,000 to $74,999!!30.0 to 34.9 percent"
"B25074_043E","Estimate!!Total!!$50,000 to $74,999!!35.0 to 39.9 percent"
"B25074_043M","Margin of Error!!Total!!$50,000 to $74,999!!35.0 to 39.9 percent"
"B25074_044E","Estimate!!Total!!$50,000 to $74,999!!40.0 to 49.9 percent"
"B25074_044M","Margin of Error!!Total!!$50,000 to $74,999!!40.0 to 49.9 percent"
"B25074_045E","Estimate!!Total!!$50,000 to $74,999!!50.0 percent or more"
"B25074_045M","Margin of Error!!Total!!$50,000 to $74,999!!50.0 percent or more"
"B25074_046E","Estimate!!Total!!$50,000 to $74,999!!Not computed"
"B25074_046M","Margin of Error!!Total!!$50,000 to $74,999!!Not computed"
"B25074_047E","Estimate!!Total!!$75,000 to $99,999"
"B25074_047M","Margin of Error!!Total!!$75,000 to $99,999"
