GEO_ID,non_high_school_per,college_per,med_income,renter_num,renter_per,mid_rent,rent_35,total,latinx,white,black,asian,include
1400000US36081000100,1.7999999999999972,79.5,142348.0,3642.0,87.7,3164.0,27.3,8830.0,8.2,58.8,3.9,22.8,1
1400000US36081000200,21.900000000000006,23.2,72813.0,415.0,44.4,1707.0,40.1,3208.0,70.0,11.7,1.2,16.1,0
1400000US36081000400,33.7,22.3,59423.0,633.0,53.3,1554.0,57.9,4583.0,67.0,4.4,2.8,23.2,1
1400000US36081000600,26.099999999999994,23.8,77407.0,388.0,40.2,1678.0,60.9,3690.0,64.6,10.4,3.3,20.5,0
1400000US36081000700,4.0,75.3,126935.0,1783.0,62.5,2223.0,31.3,6079.0,16.7,52.3,0.6,25.2,1
1400000US36081000800,23.900000000000006,22.9,65893.0,319.0,35.5,1482.0,40.1,3136.0,56.4,13.1,2.5,24.5,0
1400000US36081001000,27.900000000000006,19.2,91350.0,421.0,44.6,1674.0,46.2,4230.0,68.9,12.2,1.1,16.5,0
1400000US36081001200,19.099999999999994,18.4,67933.0,694.0,56.5,1552.0,57.1,3928.0,55.5,22.1,3.2,18.0,1
1400000US36081001400,22.799999999999997,22.2,66938.0,572.0,53.8,1645.0,36.2,4152.0,59.0,20.0,3.6,17.8,1
1400000US36081001600,20.799999999999997,27.6,84750.0,269.0,33.9,1449.0,44.5,2644.0,56.1,10.0,4.9,20.2,0
1400000US36081001800,26.200000000000003,24.4,70667.0,407.0,50.4,1700.0,48.5,2899.0,56.0,13.2,2.1,22.8,0
1400000US36081001900,3.0999999999999943,82.0,136724.0,1302.0,75.0,3004.0,23.9,3374.0,11.1,45.7,1.4,36.5,1
1400000US36081002000,25.0,28.7,84901.0,210.0,42.8,1846.0,42.0,1873.0,54.5,10.7,0.6,34.4,0
1400000US36081002200,16.200000000000003,29.1,76042.0,429.0,57.7,1510.0,44.6,2231.0,62.3,17.2,3.2,12.9,0
1400000US36081002400,26.200000000000003,21.9,71042.0,304.0,43.7,1502.0,49.5,2433.0,54.5,8.8,3.7,25.1,0
1400000US36081002500,26.900000000000006,7.6,17411.0,3207.0,99.1,345.0,22.4,7367.0,33.0,3.8,8.6,11.5,1
1400000US36081002600,29.299999999999997,32.8,83571.0,227.0,36.3,1361.0,69.8,2411.0,58.7,13.6,3.3,17.0,0
1400000US36081002800,22.900000000000006,11.1,57782.0,612.0,65.7,1412.0,43.8,3382.0,50.7,17.5,3.7,20.7,1
1400000US36081003000,22.400000000000006,28.6,52857.0,208.0,48.6,1630.0,68.0,1529.0,50.3,22.6,4.5,13.9,0
1400000US36081003100,14.5,25.6,60192.0,335.0,82.1,1560.0,46.6,986.0,56.3,27.5,3.3,12.7,0
1400000US36081003200,17.200000000000003,20.6,62895.0,223.0,43.6,1534.0,61.0,1788.0,49.6,12.5,4.5,31.0,0
1400000US36081003300,11.400000000000006,49.7,65481.0,1200.0,86.8,2120.0,41.6,3129.0,28.0,29.8,1.0,34.7,1
1400000US36081003400,24.799999999999997,17.8,62708.0,271.0,42.3,1570.0,80.9,2606.0,59.8,12.8,3.2,21.8,0
1400000US36081003600,21.700000000000003,25.1,83547.0,495.0,54.2,1403.0,27.1,3624.0,51.0,13.1,1.0,32.3,0
1400000US36081003700,,,,0.0,,,,0.0,,,,,0
1400000US36081003800,19.200000000000003,23.2,74856.0,538.0,73.4,1535.0,46.1,2756.0,66.3,10.7,3.4,14.3,1
1400000US36081003900,24.700000000000003,38.3,46607.0,339.0,82.9,1715.0,62.6,1424.0,46.4,33.4,3.2,12.6,0
1400000US36081004001,25.099999999999994,20.2,73529.0,381.0,60.3,1449.0,49.4,2358.0,49.2,27.8,1.5,19.2,0
1400000US36081004002,22.299999999999997,19.5,85962.0,300.0,71.8,1533.0,41.5,1666.0,42.2,5.1,8.8,36.0,0
1400000US36081004200,18.700000000000003,21.7,54524.0,732.0,59.3,1435.0,52.4,4377.0,41.4,8.2,2.5,44.5,1
1400000US36081004300,14.900000000000006,13.8,24515.0,1078.0,100.0,496.0,21.4,2626.0,44.4,3.0,10.9,9.9,1
1400000US36081004401,24.200000000000003,26.1,62167.0,485.0,54.5,1497.0,56.0,3865.0,24.6,7.8,3.6,58.1,0
1400000US36081004500,12.599999999999994,52.0,79688.0,401.0,26.9,925.0,42.0,3456.0,21.8,51.0,2.3,22.5,0
1400000US36081004700,23.200000000000003,30.0,32319.0,1544.0,90.6,831.0,29.7,3743.0,39.4,26.2,5.2,12.7,1
1400000US36081005000,52.2,13.4,,24.0,72.7,1700.0,79.2,101.0,91.1,8.9,26.9,0.0,0
1400000US36081005100,21.299999999999997,44.0,50742.0,590.0,85.1,1624.0,49.6,1921.0,13.6,23.5,4.2,56.7,1
1400000US36081005200,19.099999999999994,28.4,65125.0,441.0,59.7,1578.0,56.5,2721.0,25.2,11.1,4.8,51.4,0
1400000US36081005300,8.900000000000006,65.3,71882.0,2127.0,89.1,1679.0,33.4,4726.0,21.3,46.0,1.8,23.2,1
1400000US36081005400,21.5,21.9,76875.0,621.0,37.1,1586.0,37.3,6029.0,41.4,16.1,2.5,28.2,1
1400000US36081005500,17.200000000000003,30.8,61630.0,300.0,83.8,1277.0,42.1,860.0,41.4,20.0,1.5,30.0,0
1400000US36081005700,16.5,45.2,65616.0,1624.0,93.8,1701.0,44.8,4445.0,33.8,33.5,1.8,27.0,1
