"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 10.0 percent","Margin of Error!!Total!!Less than 10.0 percent","Estimate!!Total!!10.0 to 14.9 percent","Margin of Error!!Total!!10.0 to 14.9 percent","Estimate!!Total!!15.0 to 19.9 percent","Margin of Error!!Total!!15.0 to 19.9 percent","Estimate!!Total!!20.0 to 24.9 percent","Margin of Error!!Total!!20.0 to 24.9 percent","Estimate!!Total!!25.0 to 29.9 percent","Margin of Error!!Total!!25.0 to 29.9 percent","Estimate!!Total!!30.0 to 34.9 percent","Margin of Error!!Total!!30.0 to 34.9 percent","Estimate!!Total!!35.0 to 39.9 percent","Margin of Error!!Total!!35.0 to 39.9 percent","Estimate!!Total!!40.0 to 49.9 percent","Margin of Error!!Total!!40.0 to 49.9 percent","Estimate!!Total!!50.0 percent or more","Margin of Error!!Total!!50.0 percent or more","Estimate!!Total!!Not computed","Margin of Error!!Total!!Not computed"
"1400000US36005000100","Census Tract 1, Bronx County, New York","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16"
"1400000US36005000200","Census Tract 2, Bronx County, New York","677","143","9","15","18","22","73","63","105","72","20","32","18","29","10","16","30","41","276","93","118","79"
"1400000US36005000400","Census Tract 4, Bronx County, New York","453","154","0","16","0","16","49","44","76","62","39","43","20","33","0","16","39","43","150","79","80","90"
"1400000US36005001600","Census Tract 16, Bronx County, New York","1713","100","56","46","109","71","69","53","218","91","304","95","161","83","140","75","126","76","460","116","70","46"
"1400000US36005001900","Census Tract 19, Bronx County, New York","869","62","20","24","28","24","96","43","97","41","70","37","121","41","53","32","78","41","249","71","57","35"
"1400000US36005002000","Census Tract 20, Bronx County, New York","2520","210","120","121","55","52","115","87","284","159","426","168","216","119","175","119","183","118","869","265","77","75"
"1400000US36005002300","Census Tract 23, Bronx County, New York","1974","88","92","67","122","61","141","75","221","102","256","94","538","141","186","97","64","45","251","91","103","71"
"1400000US36005002400","Census Tract 24, Bronx County, New York","28","44","0","11","0","11","28","44","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US36005002500","Census Tract 25, Bronx County, New York","1808","106","68","44","70","51","142","82","79","57","188","91","262","102","211","96","120","59","545","139","123","67"
"1400000US36005002701","Census Tract 27.01, Bronx County, New York","1059","48","83","56","42","42","108","68","115","57","128","57","125","62","50","41","83","59","279","78","46","38"
"1400000US36005002702","Census Tract 27.02, Bronx County, New York","1408","76","25","27","48","37","103","70","86","69","77","51","130","68","61","54","89","54","681","142","108","82"
"1400000US36005002800","Census Tract 28, Bronx County, New York","1928","165","23","38","163","107","385","189","232","118","244","122","252","153","194","156","140","84","274","118","21","33"
"1400000US36005003100","Census Tract 31, Bronx County, New York","435","52","12","19","34","37","54","32","36","34","43","30","37","26","37","34","57","40","121","51","4","7"
"1400000US36005003300","Census Tract 33, Bronx County, New York","1108","92","58","48","106","61","43","32","27","26","101","56","140","80","101","67","54","37","394","108","84","48"
"1400000US36005003500","Census Tract 35, Bronx County, New York","1229","84","28","35","126","68","174","65","193","99","101","64","103","69","44","39","45","40","377","103","38","38"
"1400000US36005003700","Census Tract 37, Bronx County, New York","143","40","0","11","7","9","0","11","19","14","14","17","14","17","25","21","0","11","64","34","0","11"
"1400000US36005003800","Census Tract 38, Bronx County, New York","294","45","32","27","11","17","33","29","45","30","14","15","53","34","11","13","0","11","83","45","12","19"
"1400000US36005003900","Census Tract 39, Bronx County, New York","1881","139","128","101","91","67","206","112","78","80","87","77","227","139","119","93","202","136","619","178","124","91"
"1400000US36005004001","Census Tract 40.01, Bronx County, New York","236","52","5","9","6","10","26","21","25","24","10","11","24","22","5","7","27","25","84","37","24","28"
"1400000US36005004100","Census Tract 41, Bronx County, New York","1871","127","167","102","12","21","116","89","115","72","462","152","191","90","77","86","107","105","531","199","93","94"
"1400000US36005004200","Census Tract 42, Bronx County, New York","2390","186","119","102","95","67","137","104","584","231","286","161","266","152","80","87","106","76","661","223","56","52"
"1400000US36005004300","Census Tract 43, Bronx County, New York","1856","113","43","36","144","73","97","52","162","72","236","73","158","75","193","76","186","82","596","122","41","34"
"1400000US36005004400","Census Tract 44, Bronx County, New York","1551","73","129","63","132","78","163","65","118","64","286","101","278","98","66","54","145","71","211","78","23","35"
"1400000US36005004600","Census Tract 46, Bronx County, New York","546","65","13","20","54","34","62","42","58","37","50","28","99","53","41","45","67","44","65","37","37","38"
"1400000US36005004800","Census Tract 48, Bronx County, New York","1198","96","56","49","48","55","61","44","85","52","132","74","70","52","62","50","271","111","396","129","17","28"
"1400000US36005005001","Census Tract 50.01, Bronx County, New York","1381","91","17","26","65","59","58","42","64","56","82","57","85","53","87","57","68","54","753","134","102","62"
"1400000US36005005002","Census Tract 50.02, Bronx County, New York","1807","102","71","59","95","63","113","64","125","81","108","89","47","41","151","94","200","97","819","160","78","66"
"1400000US36005005100","Census Tract 51, Bronx County, New York","2046","68","153","83","125","91","104","53","296","122","354","130","264","100","73","64","159","93","450","130","68","60"
"1400000US36005005200","Census Tract 52, Bronx County, New York","795","34","54","28","42","41","105","54","91","43","67","41","104","56","10","11","23","23","261","70","38","33"
"1400000US36005005300","Census Tract 53, Bronx County, New York","1508","75","23","28","106","55","60","43","86","43","100","62","91","54","89","57","190","91","692","124","71","60"
"1400000US36005005400","Census Tract 54, Bronx County, New York","1494","112","25","29","80","59","78","70","178","102","94","69","68","47","84","66","191","94","650","154","46","43"
"1400000US36005005600","Census Tract 56, Bronx County, New York","722","81","4","7","38","20","41","35","71","44","40","36","57","27","102","54","90","49","244","75","35","36"
"1400000US36005005902","Census Tract 59.02, Bronx County, New York","797","98","27","29","3","6","28","29","75","46","61","47","78","57","36","39","60","59","419","104","10","16"
"1400000US36005006000","Census Tract 60, Bronx County, New York","341","33","12","12","18","14","22","21","37","22","16","17","35","21","33","24","54","27","104","34","10","16"
"1400000US36005006100","Census Tract 61, Bronx County, New York","1062","192","22","32","98","78","155","88","30","34","99","95","93","76","68","106","82","69","359","137","56","55"
"1400000US36005006200","Census Tract 62, Bronx County, New York","2331","132","70","69","99","76","211","126","191","136","370","184","359","159","85","76","152","114","560","188","234","159"
"1400000US36005006300","Census Tract 63, Bronx County, New York","1667","119","29","27","85","60","76","45","195","85","121","80","141","78","68","50","126","76","760","153","66","62"
"1400000US36005006400","Census Tract 64, Bronx County, New York","1110","126","27","44","28","32","39","43","74","65","31","32","145","87","72","67","78","67","448","133","168","95"
"1400000US36005006500","Census Tract 65, Bronx County, New York","1871","70","54","44","90","66","177","76","82","54","336","130","246","99","98","66","193","91","559","140","36","33"
"1400000US36005006700","Census Tract 67, Bronx County, New York","2218","134","108","101","199","105","47","55","154","137","281","148","279","130","149","138","100","61","700","185","201","140"
"1400000US36005006800","Census Tract 68, Bronx County, New York","734","103","15","16","40","32","60","58","106","64","66","50","95","58","42","41","96","61","200","63","14","22"
"1400000US36005006900","Census Tract 69, Bronx County, New York","2500","144","32","42","191","118","284","150","353","144","263","128","344","122","186","106","177","112","572","163","98","72"
"1400000US36005007000","Census Tract 70, Bronx County, New York","1053","108","0","11","54","47","86","63","105","76","85","67","87","62","60","58","87","62","479","115","10","16"
"1400000US36005007100","Census Tract 71, Bronx County, New York","605","62","0","11","18","17","74","69","52","38","78","50","73","49","72","50","66","47","149","58","23","28"
"1400000US36005007200","Census Tract 72, Bronx County, New York","1283","134","30","34","76","60","79","63","47","51","159","95","79","52","42","43","125","89","539","144","107","86"
"1400000US36005007300","Census Tract 73, Bronx County, New York","1340","78","54","46","74","55","110","72","114","68","119","76","100","61","49","45","80","61","571","122","69","69"
"1400000US36005007400","Census Tract 74, Bronx County, New York","870","114","44","49","55","41","26","36","51","37","73","51","35","40","70","59","83","63","382","124","51","57"
