"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 10.0 percent","Margin of Error!!Total!!Less than 10.0 percent","Estimate!!Total!!10.0 to 14.9 percent","Margin of Error!!Total!!10.0 to 14.9 percent","Estimate!!Total!!15.0 to 19.9 percent","Margin of Error!!Total!!15.0 to 19.9 percent","Estimate!!Total!!20.0 to 24.9 percent","Margin of Error!!Total!!20.0 to 24.9 percent","Estimate!!Total!!25.0 to 29.9 percent","Margin of Error!!Total!!25.0 to 29.9 percent","Estimate!!Total!!30.0 to 34.9 percent","Margin of Error!!Total!!30.0 to 34.9 percent","Estimate!!Total!!35.0 to 39.9 percent","Margin of Error!!Total!!35.0 to 39.9 percent","Estimate!!Total!!40.0 to 49.9 percent","Margin of Error!!Total!!40.0 to 49.9 percent","Estimate!!Total!!50.0 percent or more","Margin of Error!!Total!!50.0 percent or more","Estimate!!Total!!Not computed","Margin of Error!!Total!!Not computed"
"1400000US36005042902","Census Tract 429.02, Bronx County, New York","1442","94","0","12","75","52","165","75","104","68","97","66","68","55","74","49","125","70","677","135","57","57"
"1400000US36005033000","Census Tract 330, Bronx County, New York","2024","137","44","71","143","114","215","105","69","60","237","114","241","146","147","119","216","128","675","216","37","57"
"1400000US36005035800","Census Tract 358, Bronx County, New York","834","199","60","72","21","33","134","94","80","78","75","84","76","71","16","25","85","77","287","138","0","17"
"1400000US36005037100","Census Tract 371, Bronx County, New York","1558","130","25","27","81","68","242","117","74","46","192","89","266","129","105","58","108","80","386","123","79","67"
"1400000US36005038500","Census Tract 385, Bronx County, New York","1648","85","14","17","95","65","51","37","144","94","136","65","212","96","66","51","105","51","708","133","117","71"
"1400000US36005042100","Census Tract 421, Bronx County, New York","2056","167","74","67","134","85","197","109","290","150","115","81","197","118","118","85","216","114","594","173","121","102"
"1400000US36005045101","Census Tract 451.01, Bronx County, New York","512","66","41","39","76","32","52","23","88","42","69","32","44","33","19","18","50","39","61","35","12","12"
"1400000US36005011800","Census Tract 118, Bronx County, New York","491","129","6","10","94","68","106","85","96","76","29","42","26","31","7","12","61","68","50","64","16","17"
"1400000US36005020400","Census Tract 204, Bronx County, New York","791","113","8","16","57","64","106","70","83","50","60","61","54","55","55","62","100","74","233","98","35","34"
"1400000US36005024800","Census Tract 248, Bronx County, New York","808","104","8","14","77","57","112","62","115","63","92","63","52","37","61","52","70","69","161","88","60","59"
"1400000US36005040800","Census Tract 408, Bronx County, New York","1351","95","0","12","20","23","49","39","111","73","212","85","151","82","24","29","128","69","619","126","37","45"
"1400000US36005048400","Census Tract 484, Bronx County, New York","535","100","18","27","22","34","93","52","95","62","68","55","56","54","30","35","35","46","118","81","0","12"
"1400000US36005024700","Census Tract 247, Bronx County, New York","731","36","0","12","21","18","70","38","102","46","86","48","114","69","108","62","50","43","126","57","54","42"
"1400000US36005026602","Census Tract 266.02, Bronx County, New York","1848","205","69","74","84","76","300","148","220","142","265","130","140","96","31","36","96","93","568","175","75","81"
"1400000US36005036400","Census Tract 364, Bronx County, New York","324","82","22","21","15","23","13","20","36","33","7","10","12","17","0","12","119","65","84","46","16","18"
"1400000US36005044902","Census Tract 449.02, Bronx County, New York","501","80","12","11","51","37","94","48","39","34","40","27","69","53","32","25","29","22","109","53","26","25"
"1400000US36005022300","Census Tract 223, Bronx County, New York","1845","64","48","34","36","31","158","83","189","98","207","80","70","44","67","50","153","86","797","136","120","86"
"1400000US36005025400","Census Tract 254, Bronx County, New York","404","62","0","12","22","17","27","16","82","45","24","19","39","28","31","29","30","18","132","48","17","21"
"1400000US36005029600","Census Tract 296, Bronx County, New York","577","67","43","35","21","19","60","42","73","48","69","40","98","54","38","22","43","38","118","57","14","18"
"1400000US36005037600","Census Tract 376, Bronx County, New York","528","83","19","26","8","16","40","30","90","52","62","38","57","49","0","12","23","25","169","66","60","35"
"1400000US36005002701","Census Tract 27.01, Bronx County, New York","1061","45","73","51","68","56","112","67","119","56","119","53","125","63","61","47","118","61","205","72","61","48"
"1400000US36005006500","Census Tract 65, Bronx County, New York","1903","73","64","53","88","65","190","82","68","54","366","127","165","93","82","62","222","101","570","125","88","70"
"1400000US36005015700","Census Tract 157, Bronx County, New York","1348","101","45","55","112","76","42","39","128","79","109","81","241","130","100","83","57","51","434","133","80","53"
"1400000US36005000100","Census Tract 1, Bronx County, New York","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"1400000US36005006700","Census Tract 67, Bronx County, New York","2212","149","164","128","201","131","14","22","54","65","211","125","251","129","146","110","204","112","805","201","162","135"
"1400000US36005040702","Census Tract 407.02, Bronx County, New York","2498","135","31","37","131","104","43","48","345","171","386","165","412","154","181","99","193","121","680","180","96","99"
"1400000US36005038000","Census Tract 380, Bronx County, New York","1299","147","14","21","70","61","120","79","136","104","39","38","31","36","73","63","80","58","718","137","18","29"
"1400000US36005002500","Census Tract 25, Bronx County, New York","1856","103","52","40","76","50","173","79","146","83","188","97","222","105","186","93","178","79","516","140","119","72"
"1400000US36005006100","Census Tract 61, Bronx County, New York","1101","208","18","30","133","113","96","75","74","72","103","103","157","118","101","118","46","48","313","132","60","53"
"1400000US36005022701","Census Tract 227.01, Bronx County, New York","1805","71","62","50","94","59","122","68","205","101","137","63","59","42","147","81","227","103","669","129","83","50"
"1400000US36005007900","Census Tract 79, Bronx County, New York","2351","135","84","84","100","67","71","72","223","141","295","146","286","138","329","151","268","144","588","201","107","83"
"1400000US36005016700","Census Tract 167, Bronx County, New York","976","53","21","21","67","48","98","55","95","54","127","72","28","23","76","40","135","59","271","71","58","39"
